Tile,Source Number,APT_g,APT_error_g,m_g,m_g_ec,m_g_error,M_g,M_g_error,APT_i,APT_error_i,m_i,m_i_ec,m_i_error,M_i,M_i_error,g-i,,,,
3,25,-5.6217,0.0701,19.11189,18.55038,,10.76284399,,-5.6231,0.0953,19.36535,19.07669,,11.28915399,,-0.52631,,,,
3,26,-5.7721,0.0845,18.96149,18.39998,,10.61244399,,-5.9187,0.0747,19.06975,18.78109,,10.99355399,,-0.38111,,,,
3,27,-7.3058,0.0247,17.42779,16.86628,,9.07874399,,-8.347,0.0123,16.64145,16.35279,,8.56525399,,0.51349,,,,
3,28,-6.5649,0.0434,18.16869,17.60718,,9.81964399,,-6.7855,0.0365,18.20295,17.91429,,10.12675399,,-0.30711,,,,
3,29,-6.3036,0.0537,18.42999,17.86848,,10.08094399,,-6.7367,0.0379,18.25175,17.96309,,10.17555399,,-0.09461,,,,
3,30,-7.4453,0.0223,17.28829,16.72678,,8.93924399,,-7.3674,0.0198,17.62105,17.33239,,9.54485399,,-0.60561,,,,
3,31,-6.5661,0.034,18.16749,17.60598,,9.81844399,,-6.7603,0.0371,18.22815,17.93949,,10.15195399,,-0.33351,,,,
3,32,-5.3575,0.0867,19.37609,18.81458,,11.02704399,,-4.1545,0.2468,20.83395,20.54529,,12.75775399,,-1.73071,,,,
3,33,-10.4445,0.0038,14.28909,13.72758,,5.94004399,,-10.0055,0.0047,14.98295,14.69429,,6.90675399,,-0.96671,,,,
3,34,-5.5391,0.1033,19.19449,18.63298,,10.84544399,,-5.5353,0.1029,19.45315,19.16449,,11.37695399,,-0.53151,,,,
3,35,-8.8383,0.0085,15.89529,15.33378,,7.54624399,,-8.9374,0.0081,16.05105,15.76239,,7.97485399,,-0.42861,,,,
3,36,-5.1827,0.1398,19.55089,18.98938,,11.20184399,,-6.2009,0.0452,18.78755,18.49889,,10.71135399,,0.49049,,,,
3,37,-5.483,0.1072,19.25059,18.68908,,10.90154399,,-4.8525,0.1883,20.13595,19.84729,,12.05975399,,-1.15821,,,,
3,38,-5.8208,0.06,18.91279,18.35128,,10.56374399,,-5.0892,0.152,19.89925,19.61059,,11.82305399,,-1.25931,,,,
3,39,-5.8852,0.057,18.84839,18.28688,,10.49934399,,-5.4319,0.0828,19.55655,19.26789,,11.48035399,,-0.98101,,,,
3,40,-5.223,0.1362,19.51059,18.94908,,11.16154399,,-5.1334,0.1468,19.85505,19.56639,,11.77885399,,-0.61731,,,,
3,41,-6.7193,0.0383,18.01429,17.45278,,9.66524399,,-6.8265,0.0284,18.16195,17.87329,,10.08575399,,-0.42051,,,,
3,42,-6.2601,0.043,18.47349,17.91198,,10.12444399,,-6.166,0.0581,18.82245,18.53379,,10.74625399,,-0.62181,,,,
3,43,-8.1251,0.0126,16.60849,16.04698,,8.25944399,,-8.2088,0.012,16.77965,16.49099,,8.70345399,,-0.44401,,,,
3,44,-5.4859,0.0781,19.24769,18.68618,,10.89864399,,-5.4426,0.1108,19.54585,19.25719,,11.46965399,,-0.57101,,,,
3,45,-9.6235,0.0057,15.11009,14.54858,,6.76104399,,-9.4414,0.0063,15.54705,15.25839,,7.47085399,,-0.70981,,,,
3,46,-6.5942,0.0425,18.13939,17.57788,,9.79034399,,-7.0211,0.0249,17.96735,17.67869,,9.89115399,,-0.10081,,,,
3,47,-5.9404,0.0544,18.79319,18.23168,,10.44414399,,-6.9814,0.0314,18.00705,17.71839,,9.93085399,,0.51329,,,,
3,48,-13.6181,0.0012,11.11549,10.55398,,2.76644399,,-13.3432,0.0013,11.64525,11.35659,,3.56905399,,-0.80261,,,,
3,49,-6.2249,0.0438,18.50869,17.94718,,10.15964399,,-6.553,0.0436,18.43545,18.14679,,10.35925399,,-0.19961,,,,
3,50,-5.7291,0.064,19.00449,18.44298,,10.65544399,,-5.3937,0.0841,19.59475,19.30609,,11.51855399,,-0.86311,,,,
3,51,-5.7064,0.0652,19.02719,18.46568,,10.67814399,,-6.5926,0.0424,18.39585,18.10719,,10.31965399,,0.35849,,,,
3,52,-7.3516,0.0199,17.38199,16.82048,,9.03294399,,-8.2197,0.0133,16.76875,16.48009,,8.69255399,,0.34039,,,,
3,53,-7.6063,0.0171,17.12729,16.56578,,8.77824399,,-7.4297,0.0228,17.55875,17.27009,,9.48255399,,-0.70431,,,,
3,54,-5.3716,0.0862,19.36199,18.80048,,11.01294399,,-4.8331,0.1351,20.15535,19.86669,,12.07915399,,-1.06621,,,,
3,55,-5.4506,0.0804,19.28299,18.72148,,10.93394399,,-5.024,0.1598,19.96445,19.67579,,11.88825399,,-0.95431,,,,
3,56,-5.5085,0.0765,19.22509,18.66358,,10.87604399,,-5.7351,0.0865,19.25335,18.96469,,11.17715399,,-0.30111,,,,
3,57,-5.5965,0.098,19.13709,18.57558,,10.78804399,,-5.8001,0.082,19.18835,18.89969,,11.11215399,,-0.32411,,,,
3,58,-9.246,0.0073,15.48759,14.92608,,7.13854399,,-9.1305,0.0077,15.85795,15.56929,,7.78175399,,-0.64321,,,,
3,59,-5.8836,0.0761,18.84999,18.28848,,10.50094399,,-5.2782,0.1289,19.71025,19.42159,,11.63405399,,-1.13311,,,,
3,60,-5.04,0.1136,19.69359,19.13208,,11.34454399,,-5.0612,0.1552,19.92725,19.63859,,11.85105399,,-0.50651,,,,
3,61,-7.2098,0.0266,17.52379,16.96228,,9.17474399,,-7.8524,0.0147,17.13605,16.84739,,9.05985399,,0.11489,,,,
3,62,-6.3385,0.0405,18.39509,17.83358,,10.04604399,,-6.6205,0.0417,18.36795,18.07929,,10.29175399,,-0.24571,,,,
3,63,-4.9982,0.1643,19.73539,19.17388,,11.38634399,,-5.7092,0.0651,19.27925,18.99059,,11.20305399,,0.18329,,,,
3,64,-5.6917,0.0665,19.04189,18.48038,,10.69284399,,-6.1899,0.0593,18.79855,18.50989,,10.72235399,,-0.02951,,,,
3,65,-7.2002,0.022,17.53339,16.97188,,9.18434399,,-7.3839,0.0221,17.60455,17.31589,,9.52835399,,-0.34401,,,,
3,66,-5.4003,0.085,19.33329,18.77178,,10.98424399,,-5.1759,0.1415,19.81255,19.52389,,11.73635399,,-0.75211,,,,
3,67,-6.6554,0.0403,18.07819,17.51668,,9.72914399,,-6.7433,0.0302,18.24515,17.95649,,10.16895399,,-0.43981,,,,
3,68,-7.2785,0.0252,17.45509,16.89358,,9.10604399,,-7.7102,0.0186,17.27825,16.98959,,9.20205399,,-0.09601,,,,
3,69,-13.6656,0.0009,11.06799,10.50648,,2.71894399,,-13.2751,0.0011,11.71335,11.42469,,3.63715399,,-0.91821,,,,
3,70,-5.6498,0.0694,19.08379,18.52228,,10.73474399,,-5.793,0.0834,19.19545,18.90679,,11.11925399,,-0.38451,,,,
3,71,-5.4073,0.084,19.32629,18.76478,,10.97724399,,-5.5693,0.0998,19.41915,19.13049,,11.34295399,,-0.36571,,,,
3,72,-6.8438,0.0283,17.88979,17.32828,,9.54074399,,-6.924,0.0331,18.06445,17.77579,,9.98825399,,-0.44751,,,,
3,73,-7.0123,0.031,17.72129,17.15978,,9.37224399,,-7.2233,0.0265,17.76515,17.47649,,9.68895399,,-0.31671,,,,
3,74,-6.6076,0.0419,18.12599,17.56448,,9.77694399,,-6.7783,0.037,18.21015,17.92149,,10.13395399,,-0.35701,,,,
3,75,-5.7531,0.0862,18.98049,18.41898,,10.63144399,,-6.8417,0.0356,18.14675,17.85809,,10.07055399,,0.56089,,,,
3,76,-6.4448,0.0482,18.28879,17.72728,,9.93974399,,-6.2973,0.0548,18.69115,18.40249,,10.61495399,,-0.67521,,,,
3,77,-5.5789,0.0995,19.15469,18.59318,,10.80564399,,-5.6904,0.0676,19.29805,19.00939,,11.22185399,,-0.41621,,,,
3,78,-8.3535,0.0123,16.38009,15.81858,,8.03104399,,-8.4331,0.0117,16.55535,16.26669,,8.47915399,,-0.44811,,,,
3,79,-9.2951,0.0072,15.43849,14.87698,,7.08944399,,-9.2799,0.0072,15.70855,15.41989,,7.63235399,,-0.54291,,,,
1,1,-9.0338,0.0172,16.42545,15.86394,,8.07640399,,-9.5869,0.0133,14.570855,14.282195,,6.49465899,,1.581745,,,,
1,2,-7.6618,0.0332,17.79745,17.23594,,9.44840399,,-8.5874,0.0216,16.26857,15.97991,,8.19237399,,1.25603,,,,
1,3,-3.9537,0.3356,21.50555,20.94404,,13.15650399,,-4.9759,0.1621,19.88007,19.59141,,11.80387399,,1.35263,,,,
1,4,-11.0828,0.0066,14.37645,13.81494,,6.02740399,,-11.1993,0.0063,13.65667,13.36801,,5.58047399,,0.44693,,,,
1,5,-4.6471,0.1985,20.81215,20.25064,,12.46310399,,-6.1569,0.0754,18.69907,18.41041,,10.62287399,,1.84023,,,,
1,6,-5.0771,0.1471,20.38215,19.82064,,12.03310399,,-5.9774,0.0835,18.87857,18.58991,,10.80237399,,1.23073,,,,
1,7,-6.2778,0.069,19.18145,18.61994,,10.83240399,,-6.9794,0.0508,17.87657,17.58791,,9.80037399,,1.03203,,,,
1,8,-5.471,0.113,19.98825,19.42674,,11.63920399,,-6.1447,0.0847,18.71127,18.42261,,10.63507399,,1.00413,,,,
1,9,-5.2966,0.1257,20.16265,19.60114,,11.81360399,,-6.5298,0.0665,18.32617,18.03751,,10.24997399,,1.56363,,,,
1,10,-5.2961,0.1263,20.16315,19.60164,,11.81410399,,-6.0975,0.088,18.75847,18.46981,,10.68227399,,1.13183,,,,
1,11,-6.8729,0.0542,18.58635,18.02484,,10.23730399,,-7.4618,0.039,17.39417,17.10551,,9.31797399,,0.91933,,,,
1,12,-4.9613,0.1578,20.49795,19.93644,,12.14890399,,-7.0374,0.0487,17.81857,17.52991,,9.74237399,,2.40653,,,,
1,13,-5.7768,0.1095,19.68245,19.12094,,11.33340399,,-7.5928,0.0363,17.26317,16.97451,,9.18697399,,2.14643,,,,
1,14,-4.9166,0.1622,20.54265,19.98114,,12.19360399,,-6.6824,0.0586,18.17357,17.88491,,10.09737399,,2.09623,,,,
1,15,-4.5799,0.2065,20.87935,20.31784,,12.53030399,,-5.5941,0.1236,19.26187,18.97321,,11.18567399,,1.34463,,,,
1,16,-9.1443,0.0163,16.31495,15.75344,,7.96590399,,-9.5102,0.0138,15.34577,15.05711,,7.26957399,,0.69633,,,,
1,17,-8.4916,0.0222,16.96765,16.40614,,8.61860399,,-9.5516,0.0136,15.30437,15.01571,,7.22817399,,1.39043,,,,
1,18,-5.8424,0.0888,19.61685,19.05534,,11.26780399,,-6.5241,0.0668,18.33187,18.04321,,10.25567399,,1.01213,,,,
1,19,-7.2788,0.0403,18.18045,17.61894,,9.83140399,,-7.9475,0.0299,16.90847,16.61981,,8.83227399,,0.99913,,,,
1,20,-5.7927,0.0916,19.66655,19.10504,,11.31750399,,-6.2759,0.078,18.58007,18.29141,,10.50387399,,0.81363,,,,
1,21,-8.1734,0.0258,17.28585,16.72434,,8.93680399,,-9.2182,0.0159,15.63777,15.34911,,7.56157399,,1.37523,,,,
1,22,-8.588,0.0216,16.87125,16.30974,,8.52220399,,-9.2374,0.0158,15.61857,15.32991,,7.54237399,,0.97983,,,,
1,23,-7.0078,0.0463,18.45145,17.88994,,10.10240399,,-7.7127,0.0338,17.14327,16.85461,,9.06707399,,1.03533,,,,
1,24,-8.3252,0.024,17.13405,16.57254,,8.78500399,,-9.0454,0.0173,15.81057,15.52191,,7.73437399,,1.05063,,,,
1,25,-8.7732,0.0194,16.68605,16.12454,,8.33700399,,-10.068,0.0106,14.78797,14.49931,,6.71177399,,1.62523,,,,
1,26,-5.4197,0.1156,20.03955,19.47804,,11.69050399,,-6.7016,0.0597,18.15437,17.86571,,10.07817399,,1.61233,,,,
1,27,-11.5775,0.0053,13.88175,13.32024,,5.53270399,,-11.4874,0.0055,13.36857,13.07991,,5.29237399,,0.24033,,,,
1,28,-5.1825,0.1355,20.27675,19.71524,,11.92770399,,-7.3657,0.0408,17.49027,17.20161,,9.41407399,,2.51363,,,,
1,29,-5.5373,0.108,19.92195,19.36044,,11.57290399,,-6.4261,0.071,18.42987,18.14121,,10.35367399,,1.21923,,,,
1,30,-8.0628,0.0273,17.39645,16.83494,,9.04740399,,-8.7775,0.0197,16.07847,15.78981,,8.00227399,,1.04513,,,,
1,31,-8.0471,0.0284,17.41215,16.85064,,9.06310399,,-8.6111,0.0214,16.24487,15.95621,,8.16867399,,0.89443,,,,
1,32,-6.3556,0.0658,19.10365,18.54214,,10.75460399,,-7.0408,0.0489,17.81517,17.52651,,9.73897399,,1.01563,,,,
1,33,-5.3515,0.1476,20.10775,19.54624,,11.75870399,,-5.7622,0.1113,19.09377,18.80511,,11.01757399,,0.74113,,,,
1,34,-5.1937,0.1342,20.26555,19.70404,,11.91650399,,-5.5355,0.1293,19.32047,19.03181,,11.24427399,,0.67223,,,,
1,35,-5.1796,0.1358,20.27965,19.71814,,11.93060399,,-5.8914,0.0998,18.96457,18.67591,,10.88837399,,1.04223,,,,
1,36,-5.3469,0.1225,20.11235,19.55084,,11.76330399,,-5.7807,0.1098,19.07527,18.78661,,10.99907399,,0.76423,,,,
1,37,-6.4774,0.0615,18.98185,18.42034,,10.63280399,,-7.3113,0.0419,17.54467,17.25601,,9.46847399,,1.16433,,,,
1,38,-12.4281,0.0036,13.03115,12.46964,,4.68210399,,-12.4197,0.0036,12.43627,12.14761,,4.36007399,,0.32203,,,,
1,39,-7.289,0.04,18.17025,17.60874,,9.82120399,,-7.8255,0.0319,17.03047,16.74181,,8.95427399,,0.86693,,,,
1,40,-11.3459,0.0059,14.11335,13.55184,,5.76430399,,-11.5188,0.0054,13.33717,13.04851,,5.26097399,,0.50333,,,,
1,41,-7.0151,0.0461,18.44415,17.88264,,10.09510399,,-8.006,0.029,16.84997,16.56131,,8.77377399,,1.32133,,,,
1,42,-6.904,0.0489,18.55525,17.99374,,10.20620399,,-7.3538,0.041,17.50217,17.21351,,9.42597399,,0.78023,,,,
1,43,-5.9697,0.0823,19.48955,18.92804,,11.14050399,,-6.6349,0.0621,18.22107,17.93241,,10.14487399,,0.99563,,,,
1,44,-6.6578,0.0558,18.80145,18.23994,,10.45240399,,-8.4927,0.0227,16.36327,16.07461,,8.28707399,,2.16533,,,,
1,45,-5.7795,0.1079,19.67975,19.11824,,11.33070399,,-6.1673,0.0841,18.68867,18.40001,,10.61247399,,0.71823,,,,
1,46,-5.2672,0.1279,20.19205,19.63054,,11.84300399,,-6.1371,0.0846,18.71887,18.43021,,10.64267399,,1.20033,,,,
1,47,-6.0049,0.0807,19.45435,18.89284,,11.10530399,,-6.7784,0.0573,18.07757,17.78891,,10.00137399,,1.10393,,,,
1,48,-5.2263,0.1319,20.23295,19.67144,,11.88390399,,-5.9331,0.0981,18.92287,18.63421,,10.84667399,,1.03723,,,,
1,49,-5.4241,0.1161,20.03515,19.47364,,11.68610399,,-6.4836,0.0686,18.37237,18.08371,,10.29617399,,1.38993,,,,
1,50,-9.4744,0.0139,15.98485,15.42334,,7.63580399,,-9.8902,0.0116,14.96577,14.67711,,6.88957399,,0.74623,,,,
1,51,-10.4778,0.0088,14.98145,14.41994,,6.63240399,,-10.9535,0.007,13.90247,13.61381,,5.82627399,,0.80613,,,,
1,52,-9.0005,0.0174,16.45875,15.89724,,8.10970399,,-9.5659,0.0135,15.29007,15.00141,,7.21387399,,0.89583,,,,
1,53,-6.3112,0.068,19.14805,18.58654,,10.79900399,,-7.1738,0.0485,17.68217,17.39351,,9.60597399,,1.19303,,,,
1,54,-5.1409,0.139,20.31835,19.75684,,11.96930399,,-5.8405,0.1038,19.01547,18.72681,,10.93927399,,1.03003,,,,
1,55,-5.1437,0.1389,20.31555,19.75404,,11.96650399,,-5.5263,0.1303,19.32967,19.04101,,11.25347399,,0.71303,,,,
1,56,-6.0293,0.0797,19.42995,18.86844,,11.08090399,,-7.0282,0.0493,17.82777,17.53911,,9.75157399,,1.32933,,,,
1,57,-6.3228,0.0672,19.13645,18.57494,,10.78740399,,-7.3286,0.0415,17.52737,17.23871,,9.45117399,,1.33623,,,,
1,58,-6.1173,0.0757,19.34195,18.78044,,10.99290399,,-6.9906,0.0505,17.86537,17.57671,,9.78917399,,1.20373,,,,
1,59,-6.2017,0.072,19.25755,18.69604,,10.90850399,,-6.6462,0.0618,18.20977,17.92111,,10.13357399,,0.77493,,,,
1,60,-4.5484,0.2127,20.91085,20.34934,,12.56180399,,-4.9109,0.2065,19.94507,19.65641,,11.86887399,,0.69293,,,,
1,61,-9.4276,0.0143,16.03165,15.47014,,7.68260399,,-10.0471,0.0108,14.80887,14.52021,,6.73267399,,0.94993,,,,
1,62,-8.0926,0.0277,17.36665,16.80514,,9.01760399,,-9.138,0.0166,15.71797,15.42931,,7.64177399,,1.37583,,,,
1,63,-6.3352,0.0668,19.12405,18.56254,,10.77500399,,-7.1533,0.0459,17.70267,17.41401,,9.62647399,,1.14853,,,,
1,64,-5.8671,0.0894,19.59215,19.03064,,11.24310399,,-6.3803,0.0744,18.47567,18.18701,,10.39947399,,0.84363,,,,
1,65,-8.2866,0.0251,17.17265,16.61114,,8.82360399,,-8.8268,0.0196,16.02917,15.74051,,7.95297399,,0.87063,,,,
1,66,-6.4337,0.0705,19.02555,18.46404,,10.67650399,,-6.8412,0.0554,18.01477,17.72611,,9.93857399,,0.73793,,,,
1,67,-7.0983,0.0442,18.36095,17.79944,,10.01190399,,-7.4786,0.0384,17.37737,17.08871,,9.30117399,,0.71073,,,,
1,68,-8.6168,0.0209,16.84245,16.28094,,8.49340399,,-9.316,0.0154,15.53997,15.25131,,7.46377399,,1.02963,,,,
1,69,-6.5698,0.0587,18.88945,18.32794,,10.54040399,,-7.3361,0.0415,17.51987,17.23121,,9.44367399,,1.09673,,,,
1,70,-5.0189,0.1725,20.44035,19.87884,,12.09130399,,-6.0745,0.0886,18.78147,18.49281,,10.70527399,,1.38603,,,,
1,71,-7.6795,0.0329,17.77975,17.21824,,9.43070399,,-8.1139,0.0275,16.74207,16.45341,,8.66587399,,0.76483,,,,
1,72,-6.4709,0.062,18.98835,18.42684,,10.63930399,,-7.0443,0.049,17.81167,17.52301,,9.73547399,,0.90383,,,,
1,73,-5.9239,0.0848,19.53535,18.97384,,11.18630399,,-6.5262,0.0671,18.32977,18.04111,,10.25357399,,0.93273,,,,
1,74,-7.073,0.048,18.38625,17.82474,,10.03720399,,-7.8183,0.0321,17.03767,16.74901,,8.96147399,,1.07573,,,,
1,75,-5.0331,0.1713,20.42615,19.86464,,12.07710399,,-6.6725,0.061,18.18347,17.89481,,10.10727399,,1.96983,,,,
1,76,-6.6077,0.0575,18.85155,18.29004,,10.50250399,,-7.1591,0.046,17.69687,17.40821,,9.62067399,,0.88183,,,,
1,77,-8.5487,0.0221,16.91055,16.34904,,8.56150399,,-9.0271,0.0178,15.82887,15.54021,,7.75267399,,0.80883,,,,
1,78,-4.3958,0.315,21.06345,20.50194,,12.71440399,,-5.1322,0.1752,19.72377,19.43511,,11.64757399,,1.06683,,,,
1,79,-8.1937,0.0273,17.26555,16.70404,,8.91650399,,-8.0452,0.0285,16.81077,16.52211,,8.73457399,,0.18193,,,,